customer_id,customer_name,recency_days,frequency,monetary
20,Anika Kapoor,63,10,238252.79
189,Riya Singh,19,7,237680.86
178,Meera Rao,3,13,234472.14
238,Sanya Malhotra,60,9,234333.1
58,Aman Joshi,20,8,230444.86
119,Tanvi Chopra,84,7,229883.0
206,Simran Sharma,9,8,224622.23
248,Pooja Reddy,8,8,224547.2
27,Vivaan Joshi,143,9,217514.77
135,Anika Chopra,42,6,214802.88
57,Aditya Patel,74,7,213053.22
134,Anika Chopra,146,7,206407.31
29,Yash Patel,0,7,194861.27
224,Riya Rao,84,5,194534.62
85,Meera Gupta,3,8,193677.62
110,Neha Malhotra,25,4,189858.03
170,Anika Iyer,11,6,189215.97
4,Aditya Iyer,2,10,185745.55
45,Riya Patel,8,5,185010.07
179,Priya Joshi,52,8,184285.89
193,Aman Verma,33,5,182615.07
186,Nikhil Sharma,57,6,176590.85
241,Priya Kapoor,96,4,175594.76
109,Aman Gupta,152,6,175432.41
34,Anika Gupta,210,5,174479.65
113,Pooja Patel,10,5,170524.64
188,Arjun Chopra,15,7,151085.97
129,Aditya Rao,103,6,149365.63
234,Pooja Sharma,60,3,148090.01
131,Ishaan Singh,6,6,139965.14
149,Ananya Patel,25,5,139195.12
159,Karan Verma,141,4,139022.73
17,Yash Malhotra,22,5,138947.04
197,Kabir Singh,19,4,134503.18
74,Simran Verma,31,7,131109.69
168,Yash Rao,4,4,130781.41
39,Ishaan Bhat,23,5,129188.47
239,Vivaan Chopra,62,5,128325.06
6,Arjun Iyer,11,5,127550.76
10,Vivaan Rao,48,4,125792.52
108,Nikhil Singh,11,6,125364.66
214,Aman Patel,43,6,125346.3
55,Priya Iyer,209,4,123195.27
198,Ananya Bhat,52,3,121441.36
219,Aarav Mehta,201,3,121298.34
144,Anika Bhat,11,5,120986.33
54,Priya Sharma,99,3,120215.08
246,Neha Chopra,38,5,118770.96
165,Simran Chopra,14,4,117368.92
244,Ishaan Mehta,7,5,116843.65
235,Tanvi Gupta,30,4,116615.74
162,Aman Kapoor,4,6,115949.61
171,Karan Patel,152,4,114034.27
172,Neha Rao,58,5,111454.22
81,Yash Iyer,157,3,107706.63
236,Meera Nair,22,6,106553.29
30,Aarav Malhotra,33,9,106372.17
38,Aarav Verma,158,4,100445.68
86,Arjun Mehta,56,6,96539.98
207,Pooja Bhat,32,4,95377.0
98,Sanya Reddy,30,6,95226.45
1,Tanvi Verma,14,4,93917.54
99,Riya Singh,42,4,93155.48
151,Diya Chopra,21,4,89654.67
141,Simran Chopra,267,2,87468.72
156,Yash Kapoor,5,5,86606.31
121,Anika Bhat,64,3,84361.32
68,Ishaan Singh,36,6,83299.64
52,Nikhil Singh,70,4,82755.04
205,Simran Chopra,13,4,82650.52
133,Arjun Sharma,139,3,80923.58
201,Sara Reddy,69,4,80708.63
79,Priya Bhat,315,2,80535.46
233,Simran Nair,136,3,79860.38
28,Nikhil Singh,173,3,78645.59
75,Meera Gupta,87,5,78406.33
62,Dev Kapoor,28,2,73967.5
71,Kabir Malhotra,153,2,73445.18
183,Simran Reddy,60,4,71947.92
53,Dev Sharma,12,4,71871.25
88,Kunal Chopra,273,2,70877.85
92,Ishaan Joshi,126,3,70816.1
77,Sara Reddy,31,2,70119.62
65,Vivaan Sharma,52,5,70059.26
190,Simran Singh,55,3,65908.06
184,Diya Sharma,24,2,64364.25
124,Aman Chopra,83,3,61812.01
211,Neha Joshi,54,3,58578.11
243,Vivaan Reddy,75,3,56698.58
218,Tanvi Chopra,145,3,54775.01
123,Priya Patel,50,2,53949.99
14,Aditya Joshi,108,1,53788.33
49,Ishaan Reddy,87,3,53445.74
208,Arjun Malhotra,131,2,51071.39
7,Aarav Kapoor,278,1,49986.47
136,Kunal Reddy,12,3,48860.73
200,Simran Bhat,268,1,48076.01
191,Yash Rao,37,2,48048.24
78,Nikhil Joshi,45,2,47985.39
94,Arjun Kapoor,108,1,45098.97
228,Kunal Nair,162,1,41955.72
90,Kabir Malhotra,4,2,38581.88
128,Riya Patel,174,2,37311.86
31,Aman Kapoor,55,1,34684.52
61,Neha Reddy,295,1,34626.62
222,Meera Singh,69,1,34428.87
153,Rohan Chopra,48,1,33924.86
35,Rohan Joshi,141,1,33347.18
164,Aditya Reddy,328,3,33119.45
203,Vivaan Bhat,327,2,32574.88
210,Diya Nair,3,1,30391.3
96,Ishaan Iyer,133,1,27810.25
150,Kabir Patel,280,1,27679.74
174,Dev Mehta,269,1,26491.35
195,Rohan Rao,253,1,25175.19
69,Yash Sharma,282,2,24053.17
237,Sanya Joshi,9,2,23456.59
23,Karan Singh,139,1,22588.66
196,Ishaan Bhat,56,1,22480.47
104,Vivaan Rao,591,1,21006.27
42,Riya Joshi,168,1,20631.86
148,Kabir Joshi,21,1,15812.11
116,Aditya Joshi,8,2,15397.51
173,Kunal Patel,187,1,13646.86
102,Dev Kapoor,0,2,13278.39
154,Sara Iyer,84,1,12793.79
105,Aman Malhotra,4,1,11227.62
250,Aditya Patel,18,1,10127.77
50,Ananya Rao,28,1,8084.8
245,Diya Gupta,106,1,7195.67
138,Meera Singh,288,1,5279.88
117,Kabir Gupta,3,1,4698.66
73,Sanya Bhat,61,1,2567.56
